,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Acapulco,75,MX,1545082920,70,16.86,-99.88,84.2,6.93
1,Ilulissat,75,GL,1545079800,72,69.22,-51.1,15.8,9.17
2,Ushuaia,75,AR,1545080400,87,-54.81,-68.31,46.4,27.51
3,Clyde River,20,CA,1545080400,83,70.47,-68.59,-7.61,10.29
4,Anito,88,PH,1545084754,100,12.45,125.29,80.47,22.75
5,Upernavik,92,GL,1545084526,100,72.79,-56.15,19.94,7.43
6,Dikson,56,RU,1545084523,91,73.51,80.55,8.87,13.02
7,Ribeira Grande,40,PT,1545080400,71,38.52,-28.7,55.4,16.11
8,Punta Arenas,0,CL,1545080400,50,-53.16,-70.91,55.4,33.33
9,Hermanus,0,ZA,1545084759,85,-34.42,19.24,66.47,1.83
10,Sitka,32,US,1545084761,28,37.17,-99.65,56.8,11.45
11,Port Moresby,56,PG,1545084762,99,-9.47,147.16,83.39,5.75
12,Mataura,80,NZ,1545084454,92,-46.19,168.86,63.68,15.7
13,Zhigansk,24,RU,1545084764,56,66.77,123.37,-19.39,2.62
14,Bluff,0,AU,1545084450,79,-23.58,149.07,74.48,11.01
15,Meulaboh,80,ID,1545084766,100,4.14,96.13,76.96,5.97
16,Caravelas,0,BR,1545084767,100,-17.73,-39.27,79.21,13.13
17,Mayo,75,CA,1545080400,58,63.59,-135.9,30.2,10.29
18,Atambua,20,ID,1545084770,100,-9.11,124.89,78.04,6.31
19,Narsaq,0,GL,1545084585,48,60.91,-46.05,0.77,3.74
20,Rikitea,64,PF,1545084443,98,-23.12,-134.97,78.76,12.8
21,Sainte-Anne-des-Monts,92,CA,1545084777,97,49.13,-66.49,28.31,1.95
22,Pecos,1,US,1545083700,39,31.42,-103.49,58.82,5.82
23,Bethel,75,US,1545080160,82,60.79,-161.76,-2.03,10.29
24,Luderitz,20,NA,1545084780,95,-26.65,15.16,58.24,5.64
25,College,90,US,1545083880,77,64.86,-147.8,-5.81,3.36
26,Amapa,75,HN,1545084000,73,15.09,-87.97,73.4,5.82
27,Negara,92,ID,1545084784,98,-8.36,114.62,78.49,3.51
28,Buchanan,40,LR,1545080400,94,5.88,-10.05,77.0,8.55
29,Salym,64,RU,1545084786,85,60.06,71.48,23.14,7.43
30,Cabo San Lucas,75,MX,1545082920,60,22.89,-109.91,93.2,4.7
31,Katsuura,20,JP,1545081600,69,33.93,134.5,44.6,9.17
32,Busselton,12,AU,1545084517,100,-33.64,115.35,59.27,11.45
33,Blackpool,90,IE,1545084000,100,51.91,-8.47,51.8,27.51
34,Kruisfontein,92,ZA,1545084542,91,-34.0,24.73,71.47,6.31
35,Souillac,0,FR,1545082200,100,45.6,-0.6,44.6,8.05
36,Saint George,90,GR,1545079800,65,39.45,22.34,44.6,2.51
37,Chilca,75,PE,1545082200,54,-13.22,-72.34,57.2,11.41
38,Esil,48,KZ,1545084796,75,51.96,66.41,2.93,3.06
39,Chuy,88,UY,1545084797,96,-33.69,-53.46,72.19,8.43
40,Broome,56,GB,1545083760,93,52.47,1.45,45.5,8.05
41,Port Shepstone,56,ZA,1545084799,82,-30.74,30.45,75.61,6.42
42,Barcelos,0,PT,1545082200,66,41.53,-8.62,51.8,10.29
43,Esperance,20,TT,1545080400,74,10.24,-61.45,82.4,13.87
44,Airai,56,TL,1545084803,93,-8.93,125.41,70.75,1.61
45,Sungai Udang,75,MY,1545082200,88,5.16,100.43,77.0,3.36
46,Zhoucheng,0,CN,1545080400,100,31.35,119.33,30.2,4.47
47,Hobart,75,AU,1545082200,71,-42.88,147.33,57.2,9.17
48,Vila,0,IT,1545083400,100,45.18,8.4,37.4,2.24
49,Mumford,0,GH,1545084809,82,5.26,-0.76,80.92,7.76
50,Oranjemund,88,ZA,1545084452,91,-28.55,16.43,62.69,5.08
51,Port Elizabeth,1,US,1545083760,53,39.31,-74.98,48.02,12.75
52,Sao Felix do Xingu,76,BR,1545084812,84,-6.64,-51.99,79.16,2.73
53,Cape Town,75,ZA,1545080400,93,-33.93,18.42,60.8,12.75
54,Albany,90,US,1545083820,75,42.65,-73.75,39.02,9.17
55,Bambous Virieux,75,MU,1545084000,69,-20.34,57.76,78.8,16.11
56,Bredasdorp,100,ZA,1545080400,83,-34.53,20.04,75.2,9.17
57,Vaini,0,IN,1545084440,78,15.34,74.49,59.27,4.63
58,The Valley,20,AI,1545080400,65,18.22,-63.06,80.6,8.05
59,Kapaa,75,US,1545080160,32,22.08,-159.32,78.08,11.41
60,Moissac,32,FR,1545082200,100,44.11,1.08,44.6,6.93
61,Denpasar,20,ID,1545082200,74,-8.65,115.22,82.4,3.36
62,Baykit,80,RU,1545084824,83,61.68,96.39,17.42,12.35
63,Abonnema,12,NG,1545080400,83,4.71,6.79,80.6,3.51
64,Tazovskiy,88,RU,1545084826,88,67.47,78.7,27.77,26.55
65,Shahr-e Babak,0,IR,1545084827,58,30.12,55.12,26.24,7.31
66,Tateyama,75,JP,1545084000,69,36.66,137.31,37.4,2.24
67,Faya,0,SA,1545080400,93,18.39,42.45,59.0,2.06
68,Ornskoldsvik,90,SE,1545083400,100,63.29,18.72,26.6,2.24
69,Ponta do Sol,8,BR,1545084469,49,-20.63,-46.0,85.24,1.95
70,Kahului,20,US,1545083760,46,20.89,-156.47,82.94,19.46
71,Banda Aceh,0,ID,1545084548,100,5.56,95.32,73.94,3.62
72,Mount Gambier,90,AU,1545082200,87,-37.83,140.78,59.0,12.75
73,Lufilufi,75,WS,1545080400,74,-13.87,-171.6,86.0,11.41
74,Alice Springs,0,AU,1545082200,27,-23.7,133.88,80.6,1.12
75,Alta Floresta,48,BR,1545084839,82,-9.87,-56.08,81.64,2.17
76,Talnakh,76,RU,1545084573,81,69.49,88.39,-2.38,6.31
77,Geraldton,90,CA,1545080400,72,49.72,-86.95,14.0,10.29
78,Moron,88,VE,1545084595,51,10.49,-68.2,79.84,2.95
79,Hilo,90,US,1545079980,62,19.71,-155.08,77.0,12.57
80,Cabedelo,75,BR,1545084000,94,-6.97,-34.84,77.0,8.05
81,Igarka,92,RU,1545084846,90,67.47,86.57,26.02,22.86
82,Zemio,8,CF,1545084847,69,5.02,25.13,73.99,2.73
83,Port Lincoln,56,AU,1545084848,87,-34.72,135.86,66.7,16.26
84,Yellowknife,20,CA,1545080400,84,62.45,-114.38,6.8,11.41
85,Ostrovnoy,64,RU,1545084850,92,68.05,39.51,13.69,15.82
86,Jiuquan,0,CN,1545084852,83,39.73,98.49,-7.29,1.39
87,Gawler,75,AU,1545082200,73,-34.6,138.75,69.8,13.87
88,Wuhu,0,CN,1545080400,100,31.35,118.43,30.2,4.47
89,San Juan,20,PH,1545084000,94,14.6,121.03,77.0,17.05
90,Portsmouth,40,GB,1545083400,87,50.8,-1.08,51.8,8.05
91,Puerto Ayora,20,EC,1545080400,55,-0.74,-90.35,86.0,13.87
92,Mahebourg,40,MU,1545080400,69,-20.41,57.7,78.8,13.87
93,Atuona,12,PF,1545084461,99,-9.8,-139.03,81.86,15.59
94,Avarua,32,CK,1545084370,99,-21.21,-159.78,79.52,13.58
95,Komsomolskiy,80,RU,1545084862,92,67.55,63.78,22.87,25.99
96,Srednekolymsk,32,RU,1545084863,0,67.46,153.71,-42.43,2.62
97,Eyl,0,SO,1545084864,88,7.98,49.82,77.86,20.18
98,Lokomotivnyy,76,RU,1545084866,83,53.01,60.57,12.79,3.29
99,Sorland,20,NO,1545081600,92,67.67,12.69,23.0,2.24
100,Prainha,20,BR,1545084868,86,-1.8,-53.48,79.61,3.74
101,Arcachon,0,FR,1545082200,93,44.65,-1.18,44.6,3.36
102,Tripoli,92,GR,1545084871,95,37.51,22.37,39.74,1.83
103,Victoria,75,BN,1545082200,94,5.28,115.24,78.8,1.12
104,Cherskiy,48,RU,1545084516,55,68.75,161.3,-32.08,1.83
105,Kenai,90,US,1545083760,84,60.55,-151.26,24.98,9.17
106,Khatanga,32,RU,1545084511,63,71.98,102.47,-21.87,15.03
107,Carnarvon,92,ZA,1545084456,12,-30.97,22.13,82.94,12.12
108,Melita,36,CA,1545084877,95,49.27,-100.98,26.56,13.24
109,Nalut,0,LY,1545084879,89,31.86,10.98,44.33,4.63
110,Flin Flon,90,CA,1545080400,66,54.77,-101.88,14.0,9.17
111,Zhanaozen,8,KZ,1545084881,63,43.35,52.85,13.96,7.09
112,Saskylakh,44,RU,1545084882,38,71.97,114.09,-25.65,6.76
113,Pacific Grove,1,US,1545083700,55,36.62,-121.92,62.06,6.93
114,Bouake,0,CI,1545080400,65,7.69,-5.02,77.0,2.24
115,Yar-Sale,48,RU,1545084550,86,66.83,70.83,20.39,23.76
116,Leopold,1,US,1545083760,28,38.1,-86.58,51.8,5.82
117,Garissa,0,KE,1545084888,59,-0.46,39.64,76.6,2.95
118,Bilibino,48,RU,1545084889,38,68.06,166.44,-26.1,1.95
119,Vila Franca do Campo,20,PT,1545082200,82,37.72,-25.43,57.2,10.29
